,KITCHEN ,,,,,,
,DATE,"June 1, 2026",,,,,
,PREPARED BY,,,,,,
,KITCHEN  REPRESENTATIVE,,,,,,
,FROZEN /RAW ,,,,,,
,, BEG,UM,IN,OUT,SPOILD,REMARKS
58,PORKBELLY,6.47,KG,,,,FOR EVENT
59,POTATO CHIPS,,ORDER,,,,
60,PROSCIUTTO CRUDO PIZZA,,ORDER,,,,
61,RANCH SAUCE,,PORTION,,,,
62,RED SAUCE,  360 ,KG,,,,
63,REDBELL AIOLI,  200 ,PORTION,,,,
64,REDBELL PUREE,,G,,,,
65,SHRIMP AND SPAM CROQUETTES PREP,,ORDER,,,,
66,SHRIMP POPCORN PREP,  7 ,PORTION,,,,
67,SISIG PREP 150G,  15 ,PORTION,,,,
68,SISIG SAUCE,  1.3 ,ORDER,,,,
69,SPAM CROQUET,4,ORDER,,,,
70,SPICE RUB,  1.05 ,G,,,,
71,SPICY RUB,150,,,,,
72,SPICY RUB TENDERS,  150 ,ORDER,,,,
73,STEAMED RICE,,PORTION,,,,
74,TFR FRIES,  5 ,PORTION,,,,
75,TOMATO SAUCE,4,PACK,,,,
76,TUNA ,  25 ,PORTION,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,THE FUNROOF INVENTORY LIST,,,,,,
,"April 28,2026",,,,,,
,BEER ,BAR,OUTSIDE BAR,"UM (ML , L)",TOTAL COUNT ,REMARKS,
,SAN MIG LIGHT DRAFT 30L,1,,,4,,
,SAN MIG PALE DRAFT 30L,-,,,30,,
,HEINEKEN ORIGINAL BTL 330ML,84,63,,#REF!,,
,SAN MIG SUPER DRY BOTTLE 330 ML,75,,,#REF!,,
,SAN MIG APPLE BOTTLE 330ML,54,,,#REF!,,
,TIGER CRYSTAL LIGHT 330 ML,35,,,35,,
,RED HORSE 500 ML,3,,,#REF!,,
,,,,,,,
,,,,,,,
,SODA,BAR,OUTSIDE BAR,"UM (ML , L)",TOTAL COUNT ,REMARKS,
,NATURE SPRING BOTTLED WATER 500 ML,54,30,,#REF!,,
,COKE REGULAR IN CAN 320 ML,147,10,,#REF!,,
,COKE ZERO IN CAN 320 ML,81,12,,93,,
,SPRITE IN CAN 320 ML,47,12,,#REF!,,
,NATURE SPRING TONIC WATER 330 ML,65,4,,69,,
,NATURE SPRING SODA WATER  330 ML,31,,,#REF!,,
,CANADA DRY GINGER ALE 355 ML,7,,,7,,
